name,description,price
Scratch Playground: Create a Maze Game!,Scratch Playground : Create a Maze Game! is a beginner-level course designed to introduce kids to th,$30
Artificial Intelligence Essentials: Summer Bootcamp,Join us for this engaging 5-day summer bootcamp where we will explore the fascinating world of Artif,$30
"Time Mastery Camp: AI for Jobs, Business, Careers","The ""AI for Productivity and Time Management"" course: 🚀💡
Day 1: Introduction to AI and its Applica",$30
Build Your Own Theme Park in Roblox,"Roblox Studio fundamentals are taught through fun and interactive projects. Lectures, projects, hand",$30
Java Coding Summer Camp for Young Minds,"Java Journey: Coding Camp for Curious Minds"" is a fun-filled, 5-day adventure into the world of prog",$30
AI Camp for Entrepreneurs: Build Business Success,"Welcome to the world of AI in entrepreneurship!  In this course, we will embark on a thrilling journ",$30
ChatGPT Boot Camp: Basics & Best Uses,Join us for an exciting journey into the world of AI chatbots with this 5-day bootcamp. You'll learn,$30
Create-A-Bot: A Project-Based Robotics Exploration,"Ignite your child's tech curiosity with our ""RoboRacers"" camp! Over five days, campers will delve in",$30
Java & Proramming,""" Project outline for JAVA PROJECT BASED BOOTCAMP
1: Introduction to Java and Programming Basics.
2.",$30
Chatbot Creators: Design a ChatGPT-like AI,Join us on a 7-day bootcamp to step into the world of AI and create your own chatbot like ChatGPT. Y,$30
Web Development from scratch,"Unlock the boundless potential of web development with our ""Web Development Essentials"" course. Whet",$30
Summer Camp: Introduction to Python,"Step into our 7-day ""Python Project Playground"" camp where coding meets creativity! Kids will explor",$30
AI Secrets Revealed: Master Productivity Hacks That Will Blow Your Mind! (For Kids),"Boost your productivity with AI! 

Join our ""AI for Productivity and Time Management"" course and lea",$30
"Summer Bootcamp with JavaScript: Real Projects, Real Results","In this 5-day camp, you'll dive headfirst into JavaScript, one of the world's most popular programmi",$30
AI Disruption: Top Entrepreneurs Harnessing AI for Unprecedented Success! (For Kids),"Understand the role and potential of AI in entrepreneurship, learn the fundamentals, explore data ac",$30
The AI Writer's Masterclass: Innovation and Inspiration in Creative Writing! (For Kids),Enhance your creative writing skills with AI! Join our 10-day course and explore AI's role in writin,$30
Web Development Pro: Intermediate Level,"Ready to unlock the full potential of web development? Join our ""Intermediate Web Development Master",$32
Scratch Playground: Create a Scroller Game!,Scratch Playground : Create a Scroller Game is an intermediate level course designed to teach kids t,$30
AI Pro: Creative Writing Camp for Adults,"🚀 Welcome to Creative Writing with AI for ADULTS! 
Unleash your creativity with cutting-edge AI tec",$30
Python Playground: Create Your Own Snake Game,"Through this course, participants will learn the fundamentals of Python programming language, as wel",$30
Build your own Calculator using Python Bootcamp for kids,This bootcamp is a fun and engaging program designed to introduce children to the basics of programm,$30
Python Playground: Create a Tic Tac Toe Game,An interactive and hands-on tutorial designed to help learners build their programming skills while,$30
Scratch Playground: Create a Flappy Bird Game!,Scratch Playground 103: Create a Flappy Bird is a beginner to intermediate level course designed to,$30
"HTML, CSS, JavaScript: 7-Day Summer Bootcamp","Jump into the vibrant world of coding with our engaging 7-day summer camp! Starting from scratch, yo",$30
Hands-on Java: Project-based Learning for Coding Novices,"Embark on a coding adventure with our ""Code, Create, Conquer"" Java camp! In just 7 days, kids will l",$30
Python Playground: Create a Memory Game,Python Playground: Create a Memory Game is a beginner-level course designed for kids who are interes,$30
Summer Bootcamp: 5-Day Scratch Programming for Beginners,Embark on an exciting coding adventure with our 5-day Scratch Programming camp! Designed for beginne,$30
5-Day Summer Camp: Python for Beginners,"Dive into coding with our 5-day ""Python Playground"" camp! Kids will explore Python, a popular langua",$30
Build a Text analyzer using Python Bootcamp for kids,The Build a Text Analyzer using Python Bootcamp for Kids is an educational program designed to intro,$30
Scratch Playground : Create a Platformer Game!,Scratch Playground : Create a Platformer Game is an intermediate level course designed to teach kids,$30
Introduction to Artificial Intelligence!,"Welcome to the ""Introduction to Artificial Intelligence and Python"" course! This course is designed",$30
"Python Playground: Create a Rock, Paper, Scissors Game",This is an engaging course designed for kids who are interested in learning programming with Python.,$30
AI in Stock Market Success: Career Growth Camp !!,Are you ready to unlock the secrets of predicting stock prices using AI? 📈🤖 Join our immersive cou,$30
From Beginner to AI Pro: Kickstart Your Journey With Artificial Intelligence! (For Kids),"Dive into the world of AI! 🤖 Join our ""Introduction to Artificial Intelligence"" course and unlock t",$30
Game development using python,"Welcome to the ""Introduction to Python Game Development"" course! In this course, you'll embark on a",$30
Build a Image manipulator using Python Bootcamp for kids,The Build a Image Manipulator using Python Bootcamp for Kids is a program designed to introduce chil,$30
Build a Weather app using Python Bootcamp for kids,Build a Weather App using Python Bootcamp for Kids is an educational program designed to introduce y,$30
Build Your Own Roblox Battle Arena,"Roblox Studio fundamentals are taught through fun and interactive projects. Lectures, projects, hand",$30
The Millionaire's AI Playbook: Learn How to Predict Stock Prices! (For Kids),Learn to predict stock prices using the incredible potential of AI and machine learning in our compr,$30
Machine Learning: 7-Day Project-Based Summer Camp,"Join our ""Machine Learning Mania"" camp for a 7-day tech adventure! Kids will tackle machine learning",$30
AI Pro Camp: Career Growth Catalyst,Our Intro to AI for Adults course is designed to equip professionals with essential knowledge and pr,$30
Minecraft Java Programming for Beginners,Session-1: Introduction to Java programming and Minecraft. Lesson 2: Getting Started in Creative Mod,$30
Build a Chatbot using Python Bootcamp for kids,This bootcamp is a fun and interactive program designed to teach children how to create their own ch,$30
Build a Password generator using Python Bootcamp for kids,"Welcome to the Build a Password Generator using Python Bootcamp for Kids! In this bootcamp, you will",$30
Scratch Playground: Create a Space Game!,Scratch Playground : Create a Space Game is an intermediate-level course designed to introduce kids,$30
Create Your Own Roblox Obstacle Course,Roblox enthusiasts who want to learn how to design and build their own custom obstacle courses withi,$30
Java Minecraft Creative or Survival Mode,1. Title: Minecraft Java Programming for Beginners Overview: This class is designed for complete beg,$30
AI Camp for Jobs & Business:Build Your own ChatGPT,"🌟Welcome to the Chatbot Mastery Course! 🎓

Get ready to unlock the secrets of building intelligent",$30
"HTML, CSS, JavaScript Essentials: 5-Day Coding Bootcamp",Unleash your creativity in our fun and interactive 5-day summer camp. No prior experience needed. Yo,$30
